seed,semeion_train_ratio,semeion_train_size,semeion_test_size,method,loss,accuracy,correct,total
42,0.1,159,1434,full_zero_shot,0.4501796011063511,0.3633193863319386,521,1434
42,0.1,159,1434,random_zero_shot,0.7599124991577872,0.12761506276150628,183,1434
42,0.1,159,1434,KNN,0.7300188523954926,0.32426778242677823,465,1434
42,0.1,159,1434,OT,0.7066085034334509,0.32357043235704325,464,1434
42,0.1,159,1434,OTDD,0.6893625001694534,0.3528591352859135,506,1434
42,0.2,318,1275,full_zero_shot,0.4475687014355379,0.36392156862745095,464,1275
42,0.2,318,1275,random_zero_shot,0.7647757717207366,0.12470588235294118,159,1275
42,0.2,318,1275,KNN,0.7135993995853499,0.3192156862745098,407,1275
42,0.2,318,1275,OT,0.6981780311173084,0.3192156862745098,407,1275
42,0.2,318,1275,OTDD,0.6774981884862863,0.34823529411764703,444,1275
42,0.4,637,956,full_zero_shot,0.45465882989153206,0.35355648535564854,338,956
42,0.4,637,956,random_zero_shot,0.7668481421769913,0.12447698744769875,119,956
42,0.4,637,956,KNN,0.7195610627220266,0.3179916317991632,304,956
42,0.4,637,956,OT,0.691347124686301,0.3263598326359833,312,956
42,0.4,637,956,OTDD,0.6845303135436948,0.3399581589958159,325,956
69,0.1,159,1434,full_zero_shot,0.44591183077175084,0.36750348675034866,527,1434
69,0.1,159,1434,random_zero_shot,0.7535799214696951,0.12622036262203626,181,1434
69,0.1,159,1434,KNN,0.7227582807653952,0.3284518828451883,471,1434
69,0.1,159,1434,OT,0.682829007360892,0.3333333333333333,478,1434
69,0.1,159,1434,OTDD,0.684639953253492,0.34797768479776847,499,1434
69,0.2,318,1275,full_zero_shot,0.43835504204619163,0.3749019607843137,478,1275
69,0.2,318,1275,random_zero_shot,0.7531738011977251,0.12784313725490196,163,1275
69,0.2,318,1275,KNN,0.6817904739753873,0.35215686274509805,449,1275
69,0.2,318,1275,OT,0.663673002018648,0.3388235294117647,432,1275
